"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-03-15,"LCR",NA,1,18.8735416666667,NA,"spring","2004"
2004-03-15,"Lee's_Ferry",0,NA,9.19902777777778,NA,"spring","2004"
2004-03-15,"National",167,NA,11.441875,NA,"spring","2004"
2004-03-15,"Phantom",88,NA,10.5772916666667,NA,"spring","2004"
2004-03-15,"Spencer",246,NA,12.4765625,NA,"spring","2004"
2004-03-16,"30-mile",30,NA,9.5490625,NA,"spring","2004"
2004-03-16,"Above_LCR",61,NA,10.0671875,NA,"spring","2004"
2004-03-16,"Below_LCR",66,NA,10.4,NA,"spring","2004"
2004-03-16,"Diamond",225,NA,12.3657291666667,NA,"spring","2004"
2004-03-16,"Glen_Canyon_Dam",-16,NA,8.92680555555556,NA,"spring","2004"
2004-03-16,"LCR",NA,1,18.6113541666667,NA,"spring","2004"
2004-03-16,"Lee's_Ferry",0,NA,8.92222222222222,NA,"spring","2004"
2004-03-16,"National",167,NA,11.5342708333333,NA,"spring","2004"
2004-03-16,"Phantom",88,NA,10.7436458333333,NA,"spring","2004"
2004-03-16,"Spencer",246,NA,12.3505882352941,NA,"spring","2004"
2004-03-17,"30-mile",30,NA,9.41510416666667,NA,"spring","2004"
2004-03-17,"Above_LCR",61,NA,9.886875,NA,"spring","2004"
2004-03-17,"Below_LCR",66,NA,10.300625,NA,"spring","2004"
2004-03-17,"Diamond",225,NA,12.5257291666667,NA,"spring","2004"
2004-03-17,"Glen_Canyon_Dam",-16,NA,8.94708333333333,NA,"spring","2004"
2004-03-17,"LCR",NA,1,18.1036458333333,NA,"spring","2004"
2004-03-17,"Lee's_Ferry",0,NA,8.98347222222222,NA,"spring","2004"
2004-03-17,"National",167,NA,11.8371875,NA,"spring","2004"
2004-03-17,"Phantom",88,NA,10.7632291666667,NA,"spring","2004"
2004-03-17,"Spencer",246,NA,13.0753333333333,NA,"spring","2004"
2004-03-18,"30-mile",30,NA,9.48635416666667,NA,"spring","2004"
2004-03-18,"Above_LCR",61,NA,9.943125,NA,"spring","2004"
2004-03-18,"Below_LCR",66,NA,10.3316666666667,NA,"spring","2004"
2004-03-18,"Diamond",225,NA,12.694375,NA,"spring","2004"
2004-03-18,"Glen_Canyon_Dam",-16,NA,8.94486111111111,NA,"spring","2004"
2004-03-18,"LCR",NA,1,15.9363541666667,NA,"spring","2004"
2004-03-18,"Lee's_Ferry",0,NA,8.99277777777778,NA,"spring","2004"
2004-03-18,"National",167,NA,11.8111458333333,NA,"spring","2004"
2004-03-18,"Phantom",88,NA,10.615625,NA,"spring","2004"
