"date","site.name","temp.c.daily","rkm"
2004-01-27,"diamond",8.92802083333333,387.53
2004-01-27,"glencanyondam",8.98111111111111,-0.32
2004-01-27,"LCR",13.0465972222222,NA
2004-01-27,"leesferry",8.60097222222222,25.43
2004-01-27,"national",8.808125,294.19
2004-01-27,"phantom",8.51447916666667,167.05
2004-01-27,"rm30",8.3990625,73.71
2004-01-28,"aboveLCR",8.4578125,123.6
2004-01-28,"belowLCR",8.60583333333333,131.64
2004-01-28,"diamond",9.02770833333333,387.53
2004-01-28,"glencanyondam",8.94625,-0.32
2004-01-28,"LCR",14.465625,NA
2004-01-28,"leesferry",8.69972222222222,25.43
2004-01-28,"national",8.68052083333333,294.19
2004-01-28,"phantom",8.50020833333333,167.05
2004-01-28,"rm30",8.58197916666667,73.71
2004-01-29,"aboveLCR",8.68041666666667,123.6
2004-01-29,"belowLCR",8.8509375,131.64
2004-01-29,"diamond",8.98416666666667,387.53
2004-01-29,"glencanyondam",8.93666666666667,-0.32
2004-01-29,"LCR",14.8763194444444,NA
2004-01-29,"leesferry",8.62069444444444,25.43
2004-01-29,"national",8.71625,294.19
2004-01-29,"phantom",8.78270833333333,167.05
2004-01-29,"rm30",8.69,73.71
2004-01-30,"aboveLCR",8.7534375,123.6
2004-01-30,"belowLCR",8.96916666666667,131.64
2004-01-30,"diamond",9.01229166666667,387.53
2004-01-30,"glencanyondam",8.92916666666667,-0.32
2004-01-30,"LCR",14.8080555555556,NA
2004-01-30,"leesferry",8.66611111111111,25.43
2004-01-30,"national",8.91916666666667,294.19
2004-01-30,"phantom",9.00583333333333,167.05
2004-01-30,"rm30",8.66208333333333,73.71
2004-01-31,"aboveLCR",8.76385416666667,123.6
2004-01-31,"belowLCR",8.96895833333333,131.64
2004-01-31,"diamond",9.23489583333333,387.53
2004-01-31,"glencanyondam",8.92013888888889,-0.32
2004-01-31,"LCR",15.5895833333333,NA
2004-01-31,"leesferry",8.70625,25.43
2004-01-31,"national",9.20677083333333,294.19
2004-01-31,"phantom",9.04645833333333,167.05
2004-01-31,"rm30",8.75666666666667,73.71
2004-02-01,"aboveLCR",8.63864583333333,123.6
2004-02-01,"belowLCR",8.81614583333333,131.64
2004-02-01,"diamond",9.20333333333333,387.53
2004-02-01,"glencanyondam",8.86527777777778,-0.32
2004-02-01,"LCR",14.1365972222222,NA
2004-02-01,"leesferry",8.49430555555556,25.43
2004-02-01,"national",9.15260416666667,294.19
2004-02-01,"phantom",8.83239583333333,167.05
2004-02-01,"rm30",8.53510416666667,73.71
2004-02-02,"aboveLCR",8.33145833333333,123.6
2004-02-02,"belowLCR",8.50208333333333,131.64
2004-02-02,"diamond",9.1734375,387.53
2004-02-02,"glencanyondam",8.85444444444444,-0.32
2004-02-02,"LCR",13.3575694444444,NA
2004-02-02,"leesferry",8.44458333333333,25.43
2004-02-02,"national",8.94041666666667,294.19
2004-02-02,"phantom",8.64875,167.05
2004-02-02,"rm30",8.37104166666667,73.71
2004-02-03,"aboveLCR",8.35729166666667,123.6
2004-02-03,"belowLCR",8.510625,131.64
2004-02-03,"diamond",9.14104166666667,387.53
2004-02-03,"glencanyondam",8.8225,-0.32
2004-02-03,"LCR",14.6036805555556,NA
2004-02-03,"leesferry",8.53819444444444,25.43
2004-02-03,"national",8.885,294.19
2004-02-03,"phantom",8.46927083333333,167.05
2004-02-03,"rm30",8.42958333333333,73.71
2004-02-04,"aboveLCR",8.50791666666667,123.6
2004-02-04,"belowLCR",8.65583333333333,131.64
2004-02-04,"diamond",9.18260416666667,387.53
2004-02-04,"glencanyondam",8.79013888888889,-0.32
2004-02-04,"LCR",15.0220833333333,NA
2004-02-04,"leesferry",8.50986111111111,25.43
2004-02-04,"national",8.7775,294.19
2004-02-04,"phantom",8.54208333333333,167.05
2004-02-04,"rm30",8.47666666666667,73.71
2004-02-05,"aboveLCR",8.5234375,123.6
2004-02-05,"belowLCR",8.69510416666667,131.64
2004-02-05,"diamond",9.081875,387.53
2004-02-05,"glencanyondam",8.75166666666667,-0.32
2004-02-05,"LCR",14.7541666666667,NA
2004-02-05,"leesferry",8.45180555555556,25.43
2004-02-05,"national",8.85135416666667,294.19
2004-02-05,"phantom",8.7121875,167.05
2004-02-05,"rm30",8.50958333333333,73.71
2004-02-06,"aboveLCR",8.52833333333333,123.6
2004-02-06,"belowLCR",8.6909375,131.64
2004-02-06,"diamond",8.9984375,387.53
2004-02-06,"glencanyondam",8.72347222222222,-0.32
2004-02-06,"LCR",14.6605555555556,NA
2004-02-06,"leesferry",8.41805555555556,25.43
2004-02-06,"national",8.86739583333333,294.19
2004-02-06,"phantom",8.67177083333333,167.05
2004-02-06,"rm30",8.48010416666667,73.71
2004-02-07,"aboveLCR",8.48614583333333,123.6
2004-02-07,"belowLCR",8.65916666666667,131.64
2004-02-07,"diamond",9.0515625,387.53
2004-02-07,"glencanyondam",8.71888888888889,-0.32
2004-02-07,"LCR",14.0153472222222,NA
2004-02-07,"leesferry",8.35222222222222,25.43
2004-02-07,"national",8.8584375,294.19
2004-02-07,"phantom",8.73239583333333,167.05
2004-02-07,"rm30",8.40291666666667,73.71
2004-02-08,"aboveLCR",8.36958333333333,123.6
