OBJECTID,UNIT,SHORE_LEN,HABITAT,KM,SIDE,UNPADDED_STATION_ID,UP_KM,DOWN_KM,LON_SH_ST,LAT_SH_ST,LON_SH_EN,LAT_SH_EN,LON_CL_ST,LAT_CL_ST,LON_CL_EN,LAT_CL_EN,STATION_TYPE,AGF_LEGACY_NAME,SHAPE,STATION_ID,UP_RM,DOWN_RM,RIVER_CODE
10385,,,,44.38,L,S11.74L,,,-111.6938859,36.73382007,,,,,,,46,195L,195,S+011.74L,,11.74,COR
10386,,,,44.44,R,S11.78R,,,-111.6944963,36.73319783,,,,,,,46,771R,771,S+011.78R,,11.78,COR
10387,,,,44.6,L,S11.88L,,,-111.6937249,36.7317436,,,,,,,46,196L,196,S+011.88L,,11.88,COR
10388,,,,44.69,R,S11.93R,,,-111.6943664,36.73101377,,,,,,,46,772R,772,S+011.93R,,11.93,COR
10389,,,,44.82,L,S12.01L,,,-111.6943307,36.72977236,,,,,,,46,197L,197,S+012.01L,,12.01,COR
10390,,,,44.94,R,S12.09R,,,-111.6956246,36.72911007,,,,,,,46,773R,773,S+012.09R,,12.09,COR
10391,,,,45.03,L,S12.15L,,,-111.6954185,36.72803071,,,,,,,46,198L,198,S+012.15L,,12.15,COR
10392,,,,45.2,R,S12.25R,,,-111.6972587,36.7274532,,,,,,,46,774R,774,S+012.25R,,12.25,COR
10393,,,,45.24,L,S12.27L,,,-111.6974734,36.72683434,,,,,,,46,199L,199,S+012.27L,,12.27,COR
10394,,,,45.43,R,S12.40R,,,-111.6997213,36.72671772,,,,,,,46,775R,775,S+012.40R,,12.4,COR
10395,,,,45.48,L,S12.42L,,,-111.6996477,36.7260486,,,,,,,46,200L,200,S+012.42L,,12.42,COR
10396,,,,45.68,R,S12.55R,,,-111.7020103,36.72565112,,,,,,,46,776R,776,S+012.55R,,12.55,COR
10397,,,,45.7,L,S12.56L,,,-111.7020073,36.72520238,,,,,,,46,201L,201,S+012.56L,,12.56,COR
10398,,,,45.9,R,S12.69R,,,-111.7043525,36.72482059,,,,,,,46,777R,777,S+012.69R,,12.69,COR
10399,,,,45.93,L,S12.70L,,,-111.7043115,36.72430434,,,,,,,46,202L,202,S+012.70L,,12.7,COR
10400,,,,46.12,R,S12.82R,,,-111.7064393,36.72377759,,,,,,,46,778R,778,S+012.82R,,12.82,COR
10401,,,,46.18,L,S12.86L,,,-111.7064754,36.72302504,,,,,,,46,203L,203,S+012.86L,,12.86,COR
